14730-000,Monte Azul Paulista,Sao Paulo,,-20.920200,-48.689602
14470-000,Pedregulho,Sao Paulo,,-20.188900,-47.443298
55460-000,Cupira,Pernambuco ,,-8.568600,-35.912899
47200-000,Remanso,Bahia,,-9.541100,-42.369598
68527-000,Abel Figueiredo,Para,,-4.943800,-48.422699
35280-000,Itabirinha de Mantena,Minas Gerais,,-18.529800,-41.253700
59335-000,Florânia,Rio Grande do Norte ,,-6.152900,-36.800598
59520-000,Santana do Matos,Rio Grande do Norte ,,-5.934500,-36.713299
79240-000,Jardim,Mato Grosso do Sul,,-21.645100,-56.235100
35460-000,Brumadinho,Minas Gerais,,-20.204500,-44.153900
38260-000,São Francisco de Sales,Minas Gerais,,-19.771799,-49.810398
59808-000,Serrinha dos Pintos,Rio Grande do Norte ,,-6.152600,-37.988602
78959-000,Vale do Paraíso,Rondonia,,-10.206500,-62.069901
55565-000,São José da Coroa Grande,Pernambuco ,,-8.872400,-35.174301
44670-000,Anguera,Bahia,,-12.182200,-39.213799
71000-000,Guara,Distrito Federal,,-15.833300,-47.900002
85420-000,Corbélia,Parana,,-24.726801,-53.233299
59210-000,São Bento do Trairí,Rio Grande do Norte ,,-6.399700,-36.059200
95758-000,São Pedro da Serra,Rio Grande do Sul,,-29.421301,-51.514400
75395-000,Avelinópolis,Goias,,-16.491199,-49.763699
57720-000,Pindoba,Alagoas ,,-9.474900,-36.303398
39526-000,Catuti,Minas Gerais,,-15.323600,-43.113899
64260-000,Piripiri,Piaui,,-4.394900,-41.788200
96878-000,Vale do Sol,Rio Grande do Sul,,-29.581600,-52.681599
15190-000,Nhandeara,Sao Paulo,,-20.661400,-50.056000
49570-000,Malhador,Sergipe,,-10.692000,-37.269100
56140-000,Serrita,Pernambuco ,,-7.840100,-39.408100
56250-000,Trindade,Pernambuco ,,-7.783300,-40.334099
78810-000,Juscimeira,Mato Grosso ,,-16.205299,-54.880299
68150-000,Aveiro,Para,,-3.918800,-55.975800
95730-000,Barão,Rio Grande do Sul,,-29.396400,-51.546200
98920-000,Horizontina,Rio Grande do Sul,,-27.580900,-54.305099
98535-000,Vista Gaúcha,Rio Grande do Sul,,-27.267401,-53.697399
35850-000,Congonhas do Norte,Minas Gerais,,-18.886000,-43.696201
37960-000,São Tomás de Aquino,Minas Gerais,,-20.803200,-47.130798
69355-000,Normandia,Roraima,,3.878500,-60.042400
15130-000,Mirassol,Sao Paulo,,-20.841600,-49.508801
29370-000,Conceição do Castelo,Espirito Santo,,-20.362301,-41.266201
